country,iso3,year,indicator,value
Iraq,IRQ,2021,external_debt_gni,12.2142568885482
Iraq,IRQ,2022,external_debt_gni,7.93319206853994
Iraq,IRQ,2023,external_debt_gni,7.52940734720434
Iraq,IRQ,2024,external_debt_gni,6.22639916968424
Iraq,IRQ,2019,gdp_growth,5.5137905789381
Iraq,IRQ,2020,gdp_growth,-12.0367930960454
Iraq,IRQ,2021,gdp_growth,1.5021807095434
Iraq,IRQ,2022,gdp_growth,7.95904804990212
Iraq,IRQ,2023,gdp_growth,0.517705525140073
Iraq,IRQ,2024,gdp_growth,-1.54525198319173
Iraq,IRQ,2025,gdp_growth,-2.15574219066178
Iraq,IRQ,2019,inflation,-0.198965380023882
Iraq,IRQ,2020,inflation,0.574162679425856
Iraq,IRQ,2021,inflation,6.04186489058043
Iraq,IRQ,2022,inflation,4.9947659638103
Iraq,IRQ,2023,inflation,4.35835351089595
Iraq,IRQ,2024,inflation,2.6116961151764
Iraq,IRQ,2025,inflation,0.303454715219382
Iraq,IRQ,2019,reserves_months,10.8595841433164
Iraq,IRQ,2020,reserves_months,11.3492885016081
Iraq,IRQ,2021,reserves_months,14.4684288131166
Iraq,IRQ,2022,reserves_months,16.265596420488
Iraq,IRQ,2023,reserves_months,15.8737025963
Iraq,IRQ,2024,reserves_months,11.2072163127604
Jordan,JOR,2019,current_account,-1.58889950651918
Jordan,JOR,2020,current_account,-5.22619044169868
Jordan,JOR,2021,current_account,-7.33213017137509
Jordan,JOR,2022,current_account,-7.39189539188183
Jordan,JOR,2023,current_account,-3.25589967062863
Jordan,JOR,2024,current_account,-5.33366328480029
Jordan,JOR,2019,external_debt_gni,75.2477556467505
Jordan,JOR,2020,external_debt_gni,87.2903094132487
Jordan,JOR,2021,external_debt_gni,90.649566277089
Jordan,JOR,2022,external_debt_gni,85.3105835968273
Jordan,JOR,2023,external_debt_gni,87.8712529400758
Jordan,JOR,2024,external_debt_gni,90.1349716229773
Jordan,JOR,2019,gdp_growth,1.85633006592765
Jordan,JOR,2020,gdp_growth,-1.15257534158022
Jordan,JOR,2021,gdp_growth,3.75201276755828
Jordan,JOR,2022,gdp_growth,2.7468615450031
Jordan,JOR,2023,gdp_growth,3.12900102017251
Jordan,JOR,2024,gdp_growth,2.55605891810194
Jordan,JOR,2025,gdp_growth,2.82660839845745
Jordan,JOR,2019,inflation,0.761514047265601
Jordan,JOR,2020,inflation,0.333294350628378
Jordan,JOR,2021,inflation,1.34609377243118
Jordan,JOR,2022,inflation,4.22915568897117
Jordan,JOR,2023,inflation,2.08486986327134
Jordan,JOR,2024,inflation,1.55659611283953
Jordan,JOR,2025,inflation,1.76646490894206
Jordan,JOR,2019,reserves_months,7.95678043914995
Jordan,JOR,2020,reserves_months,10.4582795455972
Jordan,JOR,2021,reserves_months,9.41805813288369
Jordan,JOR,2022,reserves_months,6.91105668859684
Jordan,JOR,2023,reserves_months,7.30720985185322
Jordan,JOR,2024,reserves_months,7.79308209953668
Kazakhstan,KAZ,2019,current_account,-3.8684220835049
Kazakhstan,KAZ,2020,current_account,-6.46182057750936
Kazakhstan,KAZ,2021,current_account,-1.35935671668035
Kazakhstan,KAZ,2022,current_account,2.85432700775768
Kazakhstan,KAZ,2023,current_account,-3.16389675969422
Kazakhstan,KAZ,2024,current_account,-2.32054721716038
Kazakhstan,KAZ,2025,current_account,-4.06579066364776
Kazakhstan,KAZ,2019,external_debt_gni,107.373342903391
Kazakhstan,KAZ,2020,external_debt_gni,110.819683629583
Kazakhstan,KAZ,2021,external_debt_gni,100.270147736422
Kazakhstan,KAZ,2022,external_debt_gni,84.7932235856559
Kazakhstan,KAZ,2023,external_debt_gni,72.9017800635209
Kazakhstan,KAZ,2024,external_debt_gni,62.6029318152699
Kazakhstan,KAZ,2019,gdp_growth,4.50000000091883
Kazakhstan,KAZ,2020,gdp_growth,-2.49999999628
Kazakhstan,KAZ,2021,gdp_growth,4.29999999729456
Kazakhstan,KAZ,2022,gdp_growth,3.19999999970734
Kazakhstan,KAZ,2023,gdp_growth,5.09999999973641
Kazakhstan,KAZ,2024,gdp_growth,4.99999999996936
Kazakhstan,KAZ,2025,gdp_growth,6.5
Kazakhstan,KAZ,2019,inflation,5.33356098916669
Kazakhstan,KAZ,2020,inflation,6.71815454861458
Kazakhstan,KAZ,2021,inflation,8.04147134028401
Kazakhstan,KAZ,2022,inflation,15.0278644440851
Kazakhstan,KAZ,2023,inflation,14.5275597825952
Kazakhstan,KAZ,2024,inflation,8.69082156104494
Kazakhstan,KAZ,2025,inflation,11.3879454675914
Kazakhstan,KAZ,2019,reserves_months,4.46057061758816
Kazakhstan,KAZ,2020,reserves_months,6.70962132483119
Kazakhstan,KAZ,2021,reserves_months,5.42839331910088
Kazakhstan,KAZ,2022,reserves_months,4.68627763510631
Kazakhstan,KAZ,2023,reserves_months,4.20119988344391
Kazakhstan,KAZ,2024,reserves_months,5.37012273083905
Kazakhstan,KAZ,2025,reserves_months,7.38619113398577
Kenya,KEN,2019,current_account,-5.23852935907811
Kenya,KEN,2020,current_account,-3.2691100706529
Kenya,KEN,2021,current_account,-4.59900811539261
Kenya,KEN,2022,current_account,-4.19995258299621
Kenya,KEN,2023,current_account,-2.54552534327702
Kenya,KEN,2024,current_account,-1.28724447407872
Kenya,KEN,2019,external_debt_gni,35.4042862038635
Kenya,KEN,2020,external_debt_gni,38.0454096339675
Kenya,KEN,2021,external_debt_gni,38.1042168095825
Kenya,KEN,2022,external_debt_gni,36.8769031537885
Kenya,KEN,2023,external_debt_gni,40.4232521954815
Kenya,KEN,2024,external_debt_gni,34.992669732423
Kenya,KEN,2019,gdp_growth,5.11415885767801
Kenya,KEN,2020,gdp_growth,-0.272766327438816
Kenya,KEN,2021,gdp_growth,7.59048947333467
Kenya,KEN,2022,gdp_growth,4.85998104287999
Kenya,KEN,2023,gdp_growth,5.71999241214208
Kenya,KEN,2024,gdp_growth,4.66019594571891
Kenya,KEN,2025,gdp_growth,4.63261093844984
Kenya,KEN,2019,inflation,5.23963795764792
Kenya,KEN,2020,inflation,5.40516207933392
Kenya,KEN,2021,inflation,6.10793603659176
Kenya,KEN,2022,inflation,7.65986268272224
Kenya,KEN,2023,inflation,7.67139634029402
Kenya,KEN,2024,inflation,4.48978854243448
Kenya,KEN,2025,inflation,4.06912878540729
Kenya,KEN,2019,reserves_months,4.9206748709835
Kenya,KEN,2020,reserves_months,5.00168160921731
Kenya,KEN,2021,reserves_months,4.42483155112942
Kenya,KEN,2022,reserves_months,3.2163509377815
Kenya,KEN,2023,reserves_months,3.13876976697341
Kenya,KEN,2024,reserves_months,4.02886150176484
Malaysia,MYS,2019,current_account,3.50388669683419
Malaysia,MYS,2020,current_account,4.18956779359845
Malaysia,MYS,2021,current_account,3.87747951420626
Malaysia,MYS,2022,current_account,3.1234711057235
Malaysia,MYS,2023,current_account,1.56447203150546
Malaysia,MYS,2024,current_account,1.69342393177115
Malaysia,MYS,2019,gdp_growth,4.41318742129586
Malaysia,MYS,2020,gdp_growth,-5.45684658426701
Malaysia,MYS,2021,gdp_growth,3.31534954399166
Malaysia,MYS,2022,gdp_growth,9.03173723044451
Malaysia,MYS,2023,gdp_growth,3.5370638041057
Malaysia,MYS,2024,gdp_growth,5.10545921024041
Malaysia,MYS,2025,gdp_growth,5.17127082911057
Malaysia,MYS,2019,inflation,0.662891865764326
Malaysia,MYS,2020,inflation,-1.1387021539305
Malaysia,MYS,2021,inflation,2.47710241465447
Malaysia,MYS,2022,inflation,3.37869862549928
Malaysia,MYS,2023,inflation,2.48886560125754
Malaysia,MYS,2024,inflation,1.834100204499
Malaysia,MYS,2025,inflation,1.38060872293692
Malaysia,MYS,2019,reserves_months,5.26575125943776
Malaysia,MYS,2020,reserves_months,6.26880997379088
Malaysia,MYS,2021,reserves_months,5.18620609619313
Malaysia,MYS,2022,reserves_months,4.32861908087948
Malaysia,MYS,2023,reserves_months,4.77774044018093
Malaysia,MYS,2024,reserves_months,4.45057833503037
Mexico,MEX,2019,current_account,-0.296844402020911
